Date: 2018-06-25 07:19:26.211415, User:Adylshanov):  e 
Date: 2018-06-25 07:19:27.510861, User:Adylshanov):  ew 
Date: 2018-06-25 07:19:39.878813, User:Adylshanov):  ewewe 
Date: 2018-06-25 07:19:43.016153, User:Adylshanov):  /status 
Date: 2018-06-25 07:20:52.456439, User:Adylshanov):  sd 
Date: 2018-06-25 07:20:54.728917, User:Adylshanov):  /status 
Date: 2018-06-25 07:21:58.598134, User:Adylshanov):  /status 
Date: 2018-06-25 07:22:27.701560, User:Adylshanov):  /status 
Date: 2018-06-25 07:23:10.409228, User:Adylshanov):  /status 
Date: 2018-06-25 07:26:19.395228, User:Adylshanov):  /status 
Date: 2018-06-25 09:07:51.941703, User:Adylshanov):  /status 
Date: 2018-06-25 09:07:58.575448, User:Adylshanov):  /shell 
Date: 2018-06-25 09:08:07.669258, User:Adylshanov):  ls 
Date: 2018-06-25 09:13:28.485430, User:Adylshanov):  exit() 
Date: 2018-06-25 09:13:42.375580, User:Adylshanov):  exit 
Date: 2018-06-25 09:13:48.934804, User:Adylshanov):  /status 
Date: 2018-06-25 10:14:10.983268, User:Adylshanov):  /shell 
Date: 2018-06-25 10:14:10.983453, User:Adylshanov):  /shell 
Date: 2018-06-25 10:14:15.964099, User:Adylshanov):  ls 
Date: 2018-06-25 10:14:15.964283, User:Adylshanov):  ls 
Date: 2018-06-25 10:14:18.708231, User:Adylshanov):  cd .. 
Date: 2018-06-25 10:14:18.708435, User:Adylshanov):  cd .. 
Date: 2018-06-25 10:14:49.566024, User:Adylshanov):  ls 
Date: 2018-06-25 10:14:49.566200, User:Adylshanov):  ls 
Date: 2018-06-25 10:14:53.201190, User:Adylshanov):  exit 
Date: 2018-06-25 10:14:53.201375, User:Adylshanov):  exit 
Date: 2018-06-25 10:16:44.187868, User:Adylshanov):  /shell 
Date: 2018-06-25 10:16:44.188056, User:Adylshanov):  /shell 
Date: 2018-06-25 10:16:46.255056, User:Adylshanov):  ls 
Date: 2018-06-25 10:16:46.255278, User:Adylshanov):  ls 
Date: 2018-06-25 10:16:48.970119, User:Adylshanov):  cd .. 
Date: 2018-06-25 10:16:48.970306, User:Adylshanov):  cd .. 
Date: 2018-06-25 10:18:09.357930, User:Adylshanov):  /shell 
Date: 2018-06-25 10:18:09.358277, User:Adylshanov):  /shell 
Date: 2018-06-25 10:18:11.772518, User:Adylshanov):  ls 
Date: 2018-06-25 10:18:11.772711, User:Adylshanov):  ls 
Date: 2018-06-25 10:18:20.732462, User:Adylshanov):  cd /home/ 
Date: 2018-06-25 10:18:20.732657, User:Adylshanov):  cd /home/ 
Date: 2018-06-25 10:18:22.591770, User:Adylshanov):  ls 
Date: 2018-06-25 10:18:22.591970, User:Adylshanov):  ls 
Date: 2018-06-25 10:18:39.124390, User:Adylshanov):  cd .. 
Date: 2018-06-25 10:18:39.124718, User:Adylshanov):  cd .. 
Date: 2018-06-25 10:20:44.522647, User:Adylshanov):  /shell 
Date: 2018-06-25 10:20:44.522886, User:Adylshanov):  /shell 
Date: 2018-06-25 10:23:10.860720, User:Adylshanov):  /shell 
Date: 2018-06-25 10:23:10.860905, User:Adylshanov):  /shell 
Date: 2018-06-25 10:23:16.711759, User:Adylshanov):  pwd 
Date: 2018-06-25 10:23:16.711940, User:Adylshanov):  pwd 
Date: 2018-06-25 10:23:19.074201, User:Adylshanov):  ls 
Date: 2018-06-25 10:23:19.074417, User:Adylshanov):  ls 
Date: 2018-06-25 10:23:21.126129, User:Adylshanov):  cd .. 
Date: 2018-06-25 10:23:21.126359, User:Adylshanov):  cd .. 
Date: 2018-06-25 10:24:21.946076, User:Adylshanov):  exit 
